"derived_class","base_class","file_path"
"firebase::auth::DeleteAccountRequest","firebase::auth::AuthRequest","auth/src/desktop/rpcs/delete_account_request.h"
"firebase::auth::ResetPasswordRequest","firebase::auth::AuthRequest","auth/src/desktop/rpcs/reset_password_request.h"
"firebase::auth::SecureTokenRequest","firebase::auth::AuthRequest","auth/src/desktop/rpcs/secure_token_request.h"
"firebase::auth::SetAccountInfoRequest","firebase::auth::AuthRequest","auth/src/desktop/rpcs/set_account_info_request.h"
"firebase::auth::SignUpRequest","firebase::auth::AuthRequest","auth/src/desktop/rpcs/sign_up_request.h"
"firebase::auth::SetAccountInfoResponse","firebase::auth::AuthResponse","auth/src/desktop/rpcs/set_account_info_response.h"
"firebase::auth::DeleteAccountResponse","firebase::auth::AuthResponse","auth/src/desktop/rpcs/delete_account_response.h"
"firebase::auth::SecureTokenResponse","firebase::auth::AuthResponse","auth/src/desktop/rpcs/secure_token_response.h"
"firebase::auth::ResetPasswordResponse","firebase::auth::AuthResponse","auth/src/desktop/rpcs/reset_password_response.h"
"firebase::firestore::AggregateQueryInternal","firebase::firestore::Wrapper","firestore/src/android/aggregate_query_android.h"
"firebase::firestore::AggregateQuerySnapshotInternal","firebase::firestore::Wrapper","firestore/src/android/aggregate_query_snapshot_android.h"
"firebase::firestore::QueryInternal","firebase::firestore::Wrapper","firestore/src/android/query_android.h"
"firebase::firestore::QuerySnapshotInternal","firebase::firestore::Wrapper","firestore/src/android/query_snapshot_android.h"
"firebase::firestore::CollectionReference","firebase::firestore::Query","firestore/src/include/firebase/firestore/collection_reference.h"
"firebase::firestore::CollectionReferenceInternal","firebase::firestore::QueryInternal","firestore/src/main/collection_reference_main.h"
"firebase::firestore::CollectionReferenceInternal","firebase::firestore::QueryInternal","firestore/src/android/collection_reference_android.h"
"firebase::firestore::DocumentReferenceInternal","firebase::firestore::Wrapper","firestore/src/android/document_reference_android.h"
"firebase::firestore::DocumentChangeInternal","firebase::firestore::Wrapper","firestore/src/android/document_change_android.h"
"firebase::firestore::WriteBatchInternal","firebase::firestore::Wrapper","firestore/src/android/write_batch_android.h"
"firebase::firestore::TransactionInternal","firebase::firestore::Wrapper","firestore/src/android/transaction_android.h"
"firebase::firestore::DocumentSnapshotInternal","firebase::firestore::Wrapper","firestore/src/android/document_snapshot_android.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<void, void, Dummy>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<void>","firestore/src/android/promise_android.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<PublicT, InternalT, Dummy>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<PublicT>","firestore/src/android/promise_android.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<void, void, void>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<void>","firestore/src/android/promise_android.h"
"firebase::firestore::jni::Local<Object>","firebase::firestore::jni::Object","firestore/src/jni/ownership.h"
"firebase::firestore::CancellationTokenSource","firebase::firestore::jni::Object","firestore/integration_test_internal/src/android/cancellation_token_source.h"
"firebase::firestore::jni::Local<CancellationTokenSource>","firebase::firestore::CancellationTokenSource","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Method<void>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<Object>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<CancellationTokenSource>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::GeoPointInternal","firebase::firestore::jni::Object","firestore/src/android/geo_point_android.h"
"firebase::firestore::jni::Local<GeoPointInternal>","firebase::firestore::GeoPointInternal","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Class","firebase::firestore::jni::Object","firestore/src/jni/class.h"
"firebase::firestore::JniRunnable<CallbackT>","firebase::firestore::JniRunnableBase","firestore/src/android/jni_runnable_android.h"
"firebase::firestore::jni::Global<Object>","firebase::firestore::jni::Object","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Task","firebase::firestore::jni::Object","firestore/src/jni/task.h"
"firebase::firestore::jni::Local<Task>","firebase::firestore::jni::Task","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Integer","firebase::firestore::jni::Object","firestore/src/jni/integer.h"
"firebase::firestore::jni::Throwable","firebase::firestore::jni::Object","firestore/src/jni/throwable.h"
"firebase::firestore::LambdaEventListener<void>","firebase::firestore::EventListener<void>","firestore/src/android/lambda_event_listener.h"
"firebase::firestore::LambdaEventListener<T>","firebase::firestore::EventListener<T>","firestore/src/android/lambda_event_listener.h"
"firebase::firestore::LambdaEventListener<LoadBundleTaskProgress>","firebase::firestore::EventListener<LoadBundleTaskProgress>","firestore/src/android/lambda_event_listener.h"
"firebase::firestore::jni::Local<Throwable>","firebase::firestore::jni::Throwable","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Local<Integer>","firebase::firestore::jni::Integer","firestore/src/jni/ownership.h"
"firebase::firestore::(unnamed namespace)::TestCompletion<basic_string<char, char_traits<char>, allocator<char>>, int>","firebase::firestore::(unnamed namespace)::TestCompletionBase<basic_string<char, char_traits<char>, allocator<char>>, int>","firestore/integration_test_internal/src/android/promise_android_test.cc"
"firebase::firestore::(unnamed namespace)::TestVoidCompletion","firebase::firestore::(unnamed namespace)::TestCompletionBase<void, void>","firestore/integration_test_internal/src/android/promise_android_test.cc"
"firebase::firestore::(unnamed namespace)::TestCompletionBase<void, void>","firebase::firestore::Promise<void, void, AsyncFn>::Completion","firestore/integration_test_internal/src/android/promise_android_test.cc"
"firebase::firestore::(unnamed namespace)::TestCompletionBase<basic_string<char, char_traits<char>, allocator<char>>, int>","firebase::firestore::Promise<basic_string<char, char_traits<char>, allocator<char>>, int, AsyncFn>::Completion","firestore/integration_test_internal/src/android/promise_android_test.cc"
"firebase::firestore::(unnamed namespace)::TestCompletion<PublicType, InternalType>","firebase::firestore::(unnamed namespace)::TestCompletionBase<PublicType, InternalType>","firestore/integration_test_internal/src/android/promise_android_test.cc"
"firebase::firestore::SettingsInternal","firebase::firestore::jni::Object","firestore/src/android/settings_android.h"
"firebase::firestore::jni::Local<SettingsInternal>","firebase::firestore::SettingsInternal","firestore/src/jni/ownership.h"
"firebase::firestore::SnapshotMetadataInternal","firebase::firestore::jni::Object","firestore/src/android/snapshot_metadata_android.h"
"firebase::firestore::jni::Constructor<SnapshotMetadataInternal>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::TaskCompletionSource","firebase::firestore::jni::Object","firestore/integration_test_internal/src/android/task_completion_source.h"
