"class_name","method_name","method_qualified","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::auth::Auth","SignInWithCustomToken","firebase::auth::Auth::SignInWithCustomToken","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/auth_desktop.cc",338
"firebase::auth::Auth","GetAuth","firebase::auth::Auth::GetAuth","return","Auth *","Auth *","auth/src/auth.cc",66
"firebase::auth::Auth","SendPasswordResetEmailLastResult","firebase::auth::Auth::SendPasswordResetEmailLastResult","return","Future<void>","Future<void>","auth/src/auth.cc",364
"firebase::auth::Auth","CreateUserWithEmailAndPasswordLastResult","firebase::auth::Auth::CreateUserWithEmailAndPasswordLastResult","return","Future<AuthResult>","Future<AuthResult>","auth/src/auth.cc",374
"firebase::auth::Auth","SignInWithEmailAndPasswordLastResult","firebase::auth::Auth::SignInWithEmailAndPasswordLastResult","return","Future<AuthResult>","Future<AuthResult>","auth/src/auth.cc",372
"firebase::auth::Auth","SignInAnonymouslyLastResult","firebase::auth::Auth::SignInAnonymouslyLastResult","return","Future<AuthResult>","Future<AuthResult>","auth/src/auth.cc",370
"firebase::auth::Auth","SignInAndRetrieveDataWithCredentialLastResult","firebase::auth::Auth::SignInAndRetrieveDataWithCredentialLastResult","return","Future<AuthResult>","Future<AuthResult>","auth/src/auth.cc",368
"firebase::auth::Auth","SignInAndRetrieveDataWithCredential","firebase::auth::Auth::SignInAndRetrieveDataWithCredential","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/auth_desktop.cc",438
"firebase::auth::Auth","SignInWithCustomTokenLastResult","firebase::auth::Auth::SignInWithCustomTokenLastResult","return","Future<AuthResult>","Future<AuthResult>","auth/src/auth.cc",366
"firebase::auth::Auth","FetchProvidersForEmailLastResult","firebase::auth::Auth::FetchProvidersForEmailLastResult","return","Future<FetchProvidersResult>","Future<FetchProvidersResult>","auth/src/auth.cc",363
"firebase::auth::Auth","FetchProvidersForEmail","firebase::auth::Auth::FetchProvidersForEmail","return","Future<FetchProvidersResult>","Future<FetchProvidersResult>","auth/src/desktop/auth_desktop.cc",446
"firebase::auth::Auth","language_code","firebase::auth::Auth::language_code","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/auth_desktop.cc",546
"firebase::auth::Auth","SignInWithProvider","firebase::auth::Auth::SignInWithProvider","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/auth_desktop.cc",366
"firebase::auth::User","operator=","firebase::auth::User::operator=","return","User &","User &","auth/src/desktop/user_desktop.cc",639
"firebase::auth::User","phone_number","firebase::auth::User::phone_number","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.cc",1060
"firebase::auth::User","Delete","firebase::auth::User::Delete","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",699
"firebase::auth::User","uid","firebase::auth::User::uid","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.cc",1036
"firebase::auth::User","metadata","firebase::auth::User::metadata","return","UserMetadata","UserMetadata","auth/src/desktop/user_desktop.cc",1007
"firebase::auth::User","GetToken","firebase::auth::User::GetToken","return","Future<basic_string<char, char_traits<char>, allocator<char>>>","Future<basic_string<char, char_traits<char>, allocator<char>>>","auth/src/desktop/user_desktop.cc",652
"firebase::auth::User","DeleteLastResult","firebase::auth::User::DeleteLastResult","return","Future<void>","Future<void>","auth/src/user.cc",32
"firebase::auth::User","email","firebase::auth::User::email","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.cc",1044
"firebase::auth::User","Reauthenticate","firebase::auth::User::Reauthenticate","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",945
"firebase::auth::User","ReauthenticateAndRetrieveData","firebase::auth::User::ReauthenticateAndRetrieveData","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/user_desktop.cc",957
"firebase::auth::User","SendEmailVerification","firebase::auth::User::SendEmailVerification","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",728
